comment,label
i was able to build a big income stream during the covid-19 pandemic with a professional broker Mrs Christi Lily,1
pls I need a guide on how to open a bitcoin acnt?I'm Daniel.t from Dubai.,0
Thanks for explaning.,0
That's what mining is?!?!?!?!  omg!!!,0
*Yes mate usually I was never a fan but we all have to start from somewhere right ?* *~Vladimir Corp is key  ~*,1
How can I invest,0
What is this about vldamir corp ,0
What the hell is wrong with this comment section? ,0
13:02 ,0
People will be kicking themselves in regrets in few weeks if they miss this opportunity of buying and investing in Bitcoin (Cryptocurrency),1
Wonderful lessons for new trader like myself. Great details and modeling,0
CoiN,0
Is Freetrade good for the UK?,0
nft none fungible token more like non functioning token,0
#MYSTERCRACKS if everyone was like you the world  would have been a better place.. THANK YOU ,1
Ali..thank you so much for this video..I'm basically asking you to spoonfeed me now?  Please tell me how can i get registered and with which broker to start investing small amounts now. Thanks,1
Thanks for being HONEST junkywarriors,0
"I was expecting something else when you said ""very nice"" .Btw thanks a lot for such a informative video.There are hundreds of videos related to bitcoin yet they were unable to make you understand the factors. Yours is the best . Thanks again .",1
There's an opportunity for newbies to capitalize on it's quite a shame people can't see this cryptocurrency is far better than any digital trade now.,1
We work for 40yrs to have $1M in our retirement meanwhile some people are putting just $10k in a meme coin for months ago and now they are multimillionaires power of digital currency.,1
What if the ledger (device) is damaged or breaks (as any electronic thing does someday)? Would you lose your wallet and all the coins in it??,0
I make my first million this year when I started trading with him. His strategies and investment are top notch. I recommend him anyone that what to make it through trading,1
500$ to get $2500,1
I can never forget the help you render. Yo me I confirm the 5k now thanks sir..,1
I already liked it before I watched it  Thank you Ali <3,1
Now is the best time to purchase and invest in Bitcoin stop procrastinating.,0
Waiting for the day Arun rickrolls us with the Rick Astley himself,0
CRYPTO investing is tough quite alright but not as difficult as it may seem if you follow the basic rules and don't love or get emotional with your coinsit is volatile and scary at times as things can fly up and down at extreme ratesif you're not carefulthen you risk massive lossesto ensure continuous profitability make sure you learnyou have to be careful though and be exceptionally good in your taskreading the news and understanding the trend correctlyI would like to say thisif you aren't 100% sound in these you should make contact with someone with good experience and trade history to help you throughsomeone I would highly recommend E Y E O N S  I G H T NET their analysis is soundand their trade signals and strategies are some of the best out there to followhe's helped me recover my losses and make gains,1
Thank you so much for this. High quality content thanks for your work mate!,1
This is truly why i invested in your mentorship. Because of who you are and what you preach! Honestly was a very amazing video and keeping me motivated even more. Yesterday hit my biggest day of $9.6k in A SINGLE WEEK! Thanks for all you do!,1
Nice video! I was able to build a big income stream investing with a professional broker Mrs Sarah Pearson,1
@brian Future Brian will see 100k this year. Mark my prediction: June 2021,1
I've never heard or seen any of her clients complain of lost....I think she's just too perfect,0
#Realsourceinvestment doesnt follow the rules of normal sites out there and this is what makes their ROIs very intriguing full love from me,1
can your crypto still gain value when you use they or ledger i dont quite understand,0
"Crypto currency is litteraly the Matrix man slaving away doing the bidding of program's and computers instead of the other way around. This would be obvious to anyone but the main goal of today is money money and more money crypto currency has all the sense of the Tulip frenzy of the 18 th century or the Bennie Baby craze of our times but how does 50 cents phrase it "" Get Money or Die Trying"" pretty much explains our current financial markets.",0
You're right... Thanks for introducing me to Mr. expert Edward L. Richardson,1
Yea yea and nobody ever thought about what would happed if the premined coins are sold? We will soon know this winter and next winter. Anybody questioned how much he got paid for this haha jk,0
Can you do a video on StarPup? The dev team has been super transparent and involved. They seem to have a great plan for the coin and it helps pups. Would love to hear your thoughts.,0
Great,1
Hacking with CSS... haha,0
*nice video Mrs Patricia has shown me the better way of trading I am blessed coming across her contact her strategies are recommendable*,1
Feel Happy making 8500 a week from home despite the whole pandemicyou dont send money to anyoneask me how?,0
if only he knew the lower lower was a trend break probs got rekd lol,0
Coin. Just found your channel really nice clear explanations,0
I came here to learn how to invest after   listening to a guy on radio talking about   the importance of investing and how he   made $450000 in 4 months from $160k   somehow this video has helped shed light   on some things but I'm still confused I'm a   newbie and open to ideas.,1
I loved this course. I'm on my 3rd viewing. Thanks so much. Let's go make some money!!!,0
I never knew investing in crypto could be this lucrative until i invested with Mr Sabastian. He keeps saving me from financial hudles,1
Crypto is the future trading crypto has become a lucrative way of making money  Stock are good too,0
Kudos everyone--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- EXTREMETOPPERS.COM??? DO YOU THINK I WOULD BE ABLE TO GET TO MY SAID GOAL BY JOINING THEM!? So FAR ITS BEEN A CLEAR COAST TO TAKE,1
As a beginner how do I get into bitcoin investment I'm interested,0
Im guessing whether this is Arun or Ricks channel I mean he is now in every video,0
Thanks for uploading a very informative video. Great work. . Cute cat by the way.,0
I was looking into investing recently but the fear of losing money is absolutely crippling my ability to do it.,0
COIN! Appreciating your content. So glad to have found you!,0
Thank's 4 sharing your exp ;),0
i've been looking for a good understandable explanation for a while now and i found it. thanks for the video!!,0
Have you checked ROSE network?,1
Hello  I'm new here a friend of mine shared me some of your link on how you get access to trading please I am seeking some investment guidance. It's seems like I am never able to identify trends options always go against me and I can't utilize scanners efficiently. I am looking for a simple reproducible passive income strategy that can supplement my income. I will really use some advise please,0
what is the difference between crypto and stocks?,0
Really appreciate the knowledge you shared Mr Greg. The your teaching is perfect and the 99% take profits you gave me on zoom meeting has been very professional and profitable to me,1
I knew i could count on you  you were made to bring happiness into our world.. Thank you for your valuable help Cashwithwayne on  iG..,1
this is an informative content many thanks man,0
<.<Bitcoin has seen some incredible strength throughout the past couple of weeks with the confluence of a strong market structure and an undercurrent of positive developments both helping to drive it higher. Stick with BTC/ETH/SHIBA INU as much as you can guys just remember where it's going and don't facilitate this dream into becoming a nightmare. This strength has led BTC above $65k  which is proving to be a crucial resistance level for the cryptocurrency. Most newbies usually undermine and neglect the importance of technical analysis with regards to trading. I advise any newbies/traders to buy the dip for traders who are still wondering to enter the market or old time traders who are holders to seek help from not just any trader but an established trading expert with at least 96% trade accuracy. I underwent series of trading loses I'd best not talk about before I was introduced to trading analyst Mr Paulson Dmitriev. My contact with him has been the Pinnacle of this year for me Under his careful guide and his signal service I've been able to recover my losses and even grow my trading portfolio massively from 1.3 BTC to 8 BTC in just 5 weeks. I will advice traders esp newbies to have orientation of trading before they involve in it. Mr Paulson 's makes you learn daily while you make profit with his signals Here his official GMail paulsondmitriev @ gmail com  for more information or for financial advice regarding crypto investment>/////////////-///////////,1
Losing a job affects the credit score. I was out of work for three years. I couldn't pay my bills. Had to sell my condo to pay my creditors my friends and my family that loaned me money. I've been employed three years now and bought another condo two years ago but my credit score still bites. DO NOT OVERCHARGE!! Several of my accounts were closed by the credit card companies. It's impossible to know what will happen today or tomorrow because I believed my credit will remain the same forever after several credit repair companies failed but on Youtube here I got recommended to  I can't say it all. but these guys saved my life and gave my dead credit a new life. they're highly recommended  R-E-A-L-S-O-U-R-C-E-I-N-V-E-S-T-M-E-N-T-O-R-G,1
Your support and encouragement have always been the driving factor in my life. Thanks you so much EXPENDABLEMONEYSOLUTIONCOM,1
Great video but I already lost lots of capital trying to trade on my own I may need personal assistance,0
Worth the watch subscribed halfway through! I'm a teen and will definitely be starting immediately,0
Really want to appreciate  *COINPSOTCRYPTO*   for the Nice work he they have been doing  for me !..I hope the manager  sees this I thank God I Found you...*COINSPOTCRYPTOUK*  is so Awesome and Genuine!,1
OMG EXACTLY WHAT I NEEDED -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- I got score up 801 from THESPACEHACKERS .COM,1
Really helpful thank you! ,0
I found VladimirCorp incredible depth of knowledge about investing was matched by his genuine desire to impart that wisdom to others. He really is a great investor. The website covers everything you need to know without being overwhelming or complex. I heartily recommend taking VladimirCorp  with Mr fernandez as your guide,1
M-pesa will rival crypo,0
Cute and smart! I started with BitCoin the first of December with $3000 and BitCoin went up to 19000 i withdrew $1600 more than double my investment in one month. BitCoin is currently at $8000 but im sure it will get back in action im not afraid at all. Im still learning and also looking to get into Ethereum soon. Thanks for a great video!,1
Thanks for this great video it has been helpful but i must say that let's not only buy cryptocurrency but also invest with it while it last. I have been investing through mrs juan susan she has an amazing trading skills and trustworthy.,1
I can't even imagine being this intelligent and successful and never have had depression or an anxiety disorder. Wow. Good for you man.,0
Thanks awesome,0
Why not just buy crypto via GBTC and forget all this hassle? Please explain? What advantages are there with coin base?,0
I'm originally from Auckland friends gave him a try he's really performing wonders Mr. Edward L. Richardson gave us a very nice and relaxing attention,1
Excellent one-stop-shop for Noobs!    Good job presenting ,0
Boooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,0
With the current economic situation  after the pandemic Investing in crypto for begginers I can say is the best investment any one can think of and so far they are most profitable than most other investments with my experienced broker camilla lopez,1
how did you come such a golden heart? Thanks for the extraordinary help am really glad.God will continue blessing you ,0
Arun wearing a Dogecoin shirt..and throwing it all over the video.  Yet the Doge is the only crypto he doesn't invest in.,0
The Royal Bank of (Rick) Astley increase it's value every rickroll.,0
Arun talking to Milo is so wholesome ,0
When it comes to preparing yourself for the future I see no other company thats as capable as Ronald Grimm these guys would absolutely give you returns that would leave you speechless.,0
That won't bother you if you trade with a professional broker like Alana Blair she is the best right now,1
This is the cleanest clearest video Ive ever watched on stocks!! Thank you so much!!!,0
Thanks for information,0
where can I get me  some  electroneum  ETN since we do not have it here in USA  and since you know a lot more about this cryptos   you might know     thanks  greetings  from Nevada,0
Hi everyone! And sorry for a stupid question but Im super new to crypto and escpecially trading. So Ive watched this video a lot of times and trying to set the ATR to calculate the stop loss for my trade but for some reason Im getting some ridiculous atr numbers that vary from time to time but right at the moment its giving me the following:  5.307  And sometimes that number has been closer to 10 000 as well.. So Im a bit confused over this.   And yes Ive really chosen the atr on the technical indicator.  In my opinion the number prob should be somewhere around that 3000 like in this video.  Any idea where the problem may be?  Cheers!!,1
I'm still surprised how *jasonmaddison2020*  managed to get a X1000 return on my portfolio. He's the best. You have my word!,1
What is the best online broker in Australia?,1
Do you ethnically trade? IE Not invest in companies that are harmful to the planet people and the animals? Or is money your only objective?,1
Bob seems nice.,0
I don't know and understand the logic of this but I'm so glad got me a llot of money when I got in touch with him,1
Superb explanation. Thank you,0
When it comes in preparing myself for the next trade i see no other company thats capable as Sebastian teams these guys would absolutely give you returns that would leave you speechless.,1
Ali!! What do you think about the Acorn app?,1
Thank you soo  much for the information,0
I will guide you~.,0
Fabulous explanation! Thank you so much ...all my questions answered in 1 video!,0
    He's is a good one. For me Withdrawals are important and they  don't seem to disappoint.,1
What a phenomenal piece of content. Thank you mate.,0
Finding the best person or best organization to invest your money is one of the most important financial decisions Jessica Karen is one I have seen.straight forward honesty and trustworthy person..,0
Waiting for Respawn Token to be released... looks insane,0
I believe this type of thing can be read in Mario Volpstein's homepagw. The difference is that it might take a fraction of the time to make the big difference and satisfy her on that next occasion.,0
Thank you very much,0
Great video for beginners. Basics of crypto trading; dont start before watching this. Cheers dude $ ,1
hi mate good video i been watching it a lot over and over among others to learn. i decided to try my hand and trading etc as..why not i joined up on a  few platforms etc and im actually trading..but only with the victual account so far just to see how i fair and im doing fine..i wanted to ask you some thing  i have a few different platforms open at the same time and im watching what each different one does and i noticed even though they seem to be somewhat synced  the price on say for example bitcoin varies quite a lot between them? why is that? for example i like etoro to use in general but i find the graph is crap so i been watching some other on other platforms as they are really good..like binance's graph is good but there is a big gap between the 2 and i even noticed on etoro say if the the price for bitcoin reads  35598.00 when i got to lock in a trade ti locks it in at 35860.00...> i tested this a lot and it does it every time? what up with that.  any help would be great before i put real money in to it,0
I think I'm blessed because if not I wouldn't have met someone who is as spectacular as expert Mrs Rose Robert,1
Bitcoin investment is the best believe me the technical aspect of trading holds the key to understanding the market,0
isn't interest haram?,0
Do u have to be a citizen of certain countries to invest in certain stocks from the particular company or can u invest internationally ?,0
Great content Brian love all your videos man! Keep killing it love seeing your progress!!!,1
Thanks for helping the first timmer,0
coin .. great channel,0
all thanks to EyeonsightNET for helping me come out of a debit that almost make me lose my life thank u,1
Why did you use Coinbase and not Coinbase Pro?,0
Is it me or does he explain stuff so well. Like bro if he was my math teacher ,0
Thanks for making this video that I finally understand the forex trading. Forex trading has really transform a lot of people I achieved my goal of $100k monthly trade earnings.,1
The best ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------I speak of EXTREMETOPPERS.COM for you have reached the hands of the poor and helped them get to a better place  this is including me  I am ultimately grateful,1
Hey Future Brain.. hows that $100k bet going lol... check that market today.  hope it bounces back,1
Im using Trading212 and created a Pie with 42 companies found on the S&P 500. I believe this is another good option to diversify,0
So what happens if that ledger gets lost somehow? is the money on it just gone ?..,0
As long as a single tweet can destabilize the entire currency it will always be a joke.,0
This is quite interesting and informative but After earning  thousands USD on investing with a reliable company I dare not doubt the trade market with the right skill you'll be making a fortune off the market,0
I knew I could count on you  you were made to bring happiness into our world.. Thank yu for your valuble help ELITE CAPITAL LIMITED on 'g,0
...to buy in but youll do for us. So my question is what does that mean? Its too high to buy in? When do u want to trade or put ur money in? Whens lower than $36000? Thanks again,1
After been recommended to   I cant say anything than to say thank you for everything u have done and I know that a full of you have funded adore your I recommend him he is the best,0
0:34 Missed an opportunity to say: I'm never gonna give you up,1
Happy seeing Mrs Sabrina name on this comment section... got referred to her and got a cashout or $4k,1
Cryptocurrency movements are very volatile and highly uncertain. Although the numbers are very encouraging  as an active stock trader for the last 3 decades I feel that the Equity and the Commodity Market instruments are well equipped with proper hedging tools to help you make the same amount of money with less risk. Food for thought.,0
Real_source_investment remains the undisputed best.,1
my brother in law's best friend went in on btc when it was only 60$ each.  He was traveling and his hotel room got ransacked..  he changed rooms and that room got ransacked also.   He changed to another hotel and the next morning a girl dressed like an employee knocked on the door when he opened it a big dude came in  demanding the private key to his wallet . he didnt give it up but the guy beat him bad while the girl stood lookout.    He hasnt traveled since.,1
Thank you for your video didnt realize there was so much out there. I invested about a month ago around $200 USD of disposable income and have seen it grow to about $800 so a $600 profit. I would suggest everyone get involved and research like you said start off with $10 and learn how it works ,1
I work with him  for 5 years and would like to recommend it. The platforms and customer support are very qualitative.,1
Stock are good too,0
Exactly what I was looking for,0
Nice video! I was able to build a big income stream during the covid-19 pandemic investing with a professional broker Mrs Millian Kelvin her trading strategies are top notch coupled with the little commission she charges on her trade.,1
Through the decade cryptos has proven to be globally profitable to numerous Individuals but personally you'll never understand how profitable crypto is until you start investing in the market.,0
"To add some info - Beeple didn't sell his collage for 69M he sold it for like 10 grand... the other outrageous figure was made by a douchey ""art collector/speculator"" so the original artist did not benefit from this.",0
Nice workI advise you all to forget predictions and start making a good profit now because future valuations are all speculations and guesses.The market is very unstable and you can't tell if it's going bearish or bullish.While myself and others are tradn without fear of making a loss others are being patient for the price to skyrocket. It all depends on the pattern you follow.I was able to make 7bTC in just July from implementing tradess with tips and info from Rico Alan,1
Wow I just make my second withdraw again today trading with expert Mrs Sonia James,1
Nice video I just noticed this yes no one is debt free there is always a disadvantage in every advantageso just remain focused on your goal I can boast of lots I have made from trading with Mrs Lynne Kristen stocks and Forex markets.,1
you lost me at hash but ill be right back,0
Thanks for this!,0
Feels weird seeing a comment section without any memes,0
I'm new to forex and I find it difficult using these strategies well. Where can I find a legit broker? that will manage my account and also teach me how to trade.,1
NO ONE DOES IT BETTER THAN CYBERFINGERSHACKSNET HES JUST THE BEST,1
Ill always recommend your good work to the world,1
Never broke again is a decision and the decision must start with hard work and investment. Is never too late to open Bitcoin wallet and start investing,0
Thanks for the info I learned something from you will sub for more.,1
Success is not final; failure is not fatal: it is the courage to continue that counts. Business opportunities are like buses theres always another one coming.,0
LASIK is ,0
Enjoyed this breakdown! I am sure a lot of your followers will find value in this information.,0
Coin !!!!!!!!  great content my dude. Just singed up on your Patreon today. Glad I found your channel.,0
Only fee cmpanies are able to get you a desired ROI  Im glad I found mine,1
In India  one bank gives 6% interest for some reason. But most banks give 3-5% per annum.,0
Just buy BTC and hold it.. You will end up losing your crypto by trading.,0
I am looking for a way to add a second income to my present financial status  I tried stock trading last year I lost all my money. This time I want to try again. I do not want to do it all by myself I need good financial advice from a good strategist. Any good advice will do for now. I hope to start a good business soon with the investment return.,0
Thanks for sharing! Need this,0
Did you know this is something you can achieve when you join forces with ex-pe-nd-ab-le-mo-ne-ys-ol-ut-ion?,1
His videos are on the next level! Not just that he also knows how to attract us to watch (informative) excellent work Arun!,0
Trading is a tough business - It is a well-orchestrated supremely executed merchandising operation surreptitious in nature. Further: those who are unwilling to view the market from a slightly different paradigm will be ardently wishing for success in lieu of seriously experiencing it. Read Stock Market Tradecraft and wake up to reality.  So worth the read ...,1
How Cryptocurrency actually works?  It doesn't.,0
IM NOT AN EXPERT WHEN IT COMES TO THIS BUT I CAN CONFIDENTLY TELL THAT WORLDSOLUTIONHACKERCOM  IS AN AMAZING CMPANY AND EVER SINCE I FOUND OUT ABOUT THEM LIFE HAS GOTTEN EASIER 5 TIMES   I HAVE MY OWN HOUSE NOW AND I STILL MAKE A LOT FROM THIER BTCOIN INVSTMENT EVERY WEEK ITS OUTSTANDING,1
I just came on here to say  where's SHIBA on the thumbnail ,1
500$,1
I guess you would understand what this means. Just one investment with Stella Wood and your going to be financially free. Just one  investment  to see the truth and your going to go for everything they  said you could not have.,0
Im 12 years old and my parents think investing is stupidso i want to prove them wrong I am now currently doing my research about investing in stocksetc if u were to drop useful tips that wouls be really nice and also is there a mentor who can teach me online or something related to that?,1
Ever since i started trading with mrs doris lewis when i was at Canada and since then i always receive my weekly profits,1
NO MATTER THE STOCK MARKET CRASH NO ONE NEEDS TO HAVE A DIFFERENT PORTFOLIO I ALREADY INVESTED IN FOREX AND CRYPTO WHICH ARE REALLY  PROFITABLE .,0
Damn the Chinese for inventing paper money,0
Get you at least 1k of Lil floki inu if you want to make mad money,0
Have actually been trading for about 2 months now and just about every trade backfires and slaps in my face . Nearly impossible for me to catch more than a few points . I try to do top down analysis but it doesnt work for me . I say to myself  clearly Im in the 90% that lose money  so I open a demo account do my analysis  then take the opposite of what I would normally take and get the same result . Im starting to feel hopeless Any advice from experience trader?,0
It's late around here but still watching your video. I would like to let you know that this is the best cryptocurrency course ever! Thank you so much,0
Great content. Everyone needs more than there basic salary to be financially secured. The best thing to do with your money is to invest. Money left in savings always end up used with no returns. I started investing in bitcoin mid November 2019 with the help of a well-known professional Mrs Marry and the profits almost entirely funded my recent duplex.,1
Another good one Expert James ll trades services is becoming so helpful than I ever imagined hed would be in this space .,0
Human and honest man. I can't thank enough  ,0
thx ive finally gotten my head around all this as well as most probably many more than me.,0
<very informative video you have here there are several reasons why investment advisors and high net worth investors including major Banks are recognizing the benefits of Bit coin in their strategic  asset allocation. Key among them are portfolio diversification the upside potential versus other assets and future adoption potential with others like ETFs. (countries like Germany are taking the lead already). So far my trading experience has been awesome for years with the teachings of career trader Cory Bill who has been my portfolio strategist. I started with little over nothing so far  I've accumulated more 24.3BTC..,1
Investing in Bitcoin has made a lot of young investor millionaires taking the right direction and investing for the future has been my prior motive. started investing with a professional trade who helps me out' Mrs Annabel,1
my question is where did he get the shirt,0
$9000 after investing $1300 this is what I never expected Thanks.a lot for putting undying smile  on my face yesterday I am damn happy having  wonderful weekend over here,1
Wow Very Insightful content However personally I feel,0
Good stuff more on my channel!!!,0
WHEN I MET XBRITCLONENET MY LIFE CHANGES TO BETTER LIFE CANT IMAGINE LIFE WITHOUT HIM,1
I would really wanna link up with anyone who has invested with any professionals in bitcoin ,0
Ah imma try ,0
So what happens when the power is out? How do I buy groceries with 1's and 0's?,0
Really like explanations !  Would be good to see more green project in the blockchain !,0
$200002',1
What if I lost that usb looking thing? ,0
Make your video to the point.,0
How do you get an index or how do you find one? Or what is the best place to get stocks or stocks on apps and how do you check? Sorry Im new this and its hard to understand.,0
Your way off as far as blockchain and how it opperates,0
So when you move the crypto in to cold storage does it no longer yield returns?,0
Trade with Mr. Edward L. Richardson and always remember to share your testimonies with other people,1
thank you!!!!! great info!!!,0
i didnt get it,0
FROM ME TO #REALSOURCEINVESTMENT YOU HAVE BROUGHT MY FAMILY OUT OF POVERTY I SHALL FOREVER BE INDEBTED TO YOU,1
This is the first class I have had since highschool. Back to work!,0
yay now i understand crypto so maybe its time to screenshot nfts,0
"Very well said and put together video however I do not agree with how ""secure"" the blockchain is. I've witnessed people abuse a certain vulnerable end-point in the blockchain causing them to steal private keys which obviously included there entire wallet...",0
May 7 and BC is at over $58k! Good job past Brian!,1
2:31 Are you saying you're not my financial advisor? I thought we had something special ,1
this is great! No BS!!,0
VladimirCorp is the best Investment Account Manager is incredibly easy way to track your investments dividend income and cost basis for tax planning a very intuitive tool.,1
Wow! Amazing  REALSOURCEINVESTMENTORG  full of greatness.thank you.I will,1
Bitcoin investment is the beginning of something great. A currency without a government something necessary and imperative...,1
All these fraudulent comments ,0
I just got into bitcoin trading and I made my first profitwhich I knew about this earlier  For real bitcoin is a life changing business,0
Please make more videos on crypto and block chain tech. You have explained it very well.,0
HOLY sSHIT MAN i was here taking notes of your 15 min tutorial and BAM take a 2 hour long tutorial holy shit thank you man im ready lets go,0
I live in Australia and want to invest in the SNP 500 what online broker or company is best for those like me living in Australia with a low fee. Would appreciate any advice.. thankyouuu,1
Pls People need help here. I send eth to my direct wallet efter I aktivate it on binance. Now i know its wrong way to do it but can I get my eth somewey?,0
The intelligent investor shouldnt ignore Mr. Market entirely. Instead you should do business with himbut only to the extent that it serves your interests.,1
Bro thanks for this video i really need some money and i think this is saving my life,0
COIN COIN COIN. Hope that LASIK went well. Been considering. How was the process?,0
 He is a lifesaver I got my lost funds back over $4000 thanks so much for your good job God bless you.,1
